Section,Title,Link
Introduction,Namma Yatri drives into Bengaluru with zero commission cab service | Apps - Business Standard,"https://www.business-standard.com/technology/apps/namma-yatri-launches-zero-commission-cab-service-in-bengaluru-124041601064_1.html#:~:text=%E2%80%9CTheir%20community,%E2%80%9D"
Predicting Driver Ride Denials,Using Machine Learning to Build a Ride Acceptance Model for Uber | HackerNoon,"https://hackernoon.com/using-machine-learning-to-build-a-ride-acceptance-model-for-uber#:~:text=,Pool%20request%20or%20Normal%20request"
Predicting Driver Ride Denials,Using Machine Learning to Build a Ride Acceptance Model for Uber | HackerNoon,https://hackernoon.com/using-machine-learning-to-build-a-ride-acceptance-model-for-uber#:~:text=5
Predicting Driver Ride Denials,Using Machine Learning to Build a Ride Acceptance Model for Uber | HackerNoon,https://hackernoon.com/using-machine-learning-to-build-a-ride-acceptance-model-for-uber#:~:text=a
Predicting Driver Ride Denials,Using Machine Learning to Build a Ride Acceptance Model for Uber | HackerNoon,"https://hackernoon.com/using-machine-learning-to-build-a-ride-acceptance-model-for-uber#:~:text=,on%20traffic%20in%20the%20region"
Predicting Driver Ride Denials,Using Machine Learning to Build a Ride Acceptance Model for Uber | HackerNoon,https://hackernoon.com/using-machine-learning-to-build-a-ride-acceptance-model-for-uber#:~:text=Modeling
Gamification and Rewards,An Operating System for Everyday Life | Uber Newsroom,"https://www.uber.com/en-AU/newsroom/everyday-life-os/#:~:text=and%20better%20predictions%20of%20when,create%20more%20opportunities%20to%20reward"
Gamification and Rewards,Behind the Schemes: How has Uber Used Gamification?,"https://gamify.outfieldapp.com/gamification/business/sales/companies/does-uber-use-gamification#:~:text=At%20the%20heart%20of%20Uber%27s,achievements%20in%20a%20video%20game"
Gamification and Rewards,Behind the Schemes: How has Uber Used Gamification?,"https://gamify.outfieldapp.com/gamification/business/sales/companies/does-uber-use-gamification#:~:text=Furthermore%2C%20Uber%20introduced%20the%20concept,platform%20and%20accept%20more%20rides"
Gamification and Rewards,Behind the Schemes: How has Uber Used Gamification?,https://gamify.outfieldapp.com/gamification/business/sales/companies/does-uber-use-gamification#:~:text=platform%20and%20accept%20more%20rides
Real-Time Analytics,An Operating System for Everyday Life | Uber Newsroom,"https://www.uber.com/en-AU/newsroom/everyday-life-os/#:~:text=,We"
Real-Time Analytics,"GrabRideGuide, our new AI tool that predicts ride demand areas",https://www.grab.com/sg/inside-grab/stories/grabrideguide-our-new-ai-tool-that-predicts-high-demand-areas/#:~:text=
Real-Time Analytics,"GrabRideGuide, our new AI tool that predicts ride demand areas",https://www.grab.com/sg/inside-grab/stories/grabrideguide-our-new-ai-tool-that-predicts-high-demand-areas/#:~:text=Image
Real-Time Analytics,"GrabRideGuide, our new AI tool that predicts ride demand areas","https://www.grab.com/sg/inside-grab/stories/grabrideguide-our-new-ai-tool-that-predicts-high-demand-areas/#:~:text=This%20year%2C%20we%20piloted%20GrabRideGuide%2C,drivers%20who%20weren%E2%80%99t%20using%20GrabRideGuide"
Real-Time Analytics,"GrabRideGuide, our new AI tool that predicts ride demand areas","https://www.grab.com/sg/inside-grab/stories/grabrideguide-our-new-ai-tool-that-predicts-high-demand-areas/#:~:text=significant%20enhancement%20of%20Grab%E2%80%99s%20already,existing%20demand%20heat%20map"
Real-Time Analytics,Heatmap-based Decision Support for Repositioning in Ride-Sharing Systems,"https://www.fww.ovgu.de/fww_media/femm/femm_2022/2022_03.pdf#:~:text=heatmaps%20reduce%20service%20cancellations%20therefore,the%20average%20earnings%20per%20driver"
Real-Time Analytics,Heatmap-based Decision Support for Repositioning in Ride-Sharing Systems,"https://www.fww.ovgu.de/fww_media/femm/femm_2022/2022_03.pdf#:~:text=longer,in%20the%20city%2C%20another%20important"
